time iter num.topics num.tables likelihood gamma alpha split merge trial
    1.00 00290 0014 00249 -4144.17830 1.00000 1.00000 0 0 0
    1.00 00291 0014 00248 -4127.05269 1.00000 1.00000 0 0 0
    1.00 00292 0014 00248 -4106.81848 1.00000 1.00000 0 0 0
    1.00 00293 0013 00227 -4046.24703 1.00000 1.00000 0 0 0
    1.00 00294 0013 00226 -4077.10082 1.00000 1.00000 0 0 0
    1.00 00295 0014 00225 -4027.22088 1.00000 1.00000 0 0 0
    1.00 00296 0013 00240 -4084.94357 1.00000 1.00000 0 0 0
    1.00 00297 0013 00244 -4092.47018 1.00000 1.00000 0 0 0
    1.00 00298 0012 00238 -4071.99938 1.00000 1.00000 0 0 0
    1.00 00299 0013 00236 -4106.17387 1.00000 1.00000 0 0 0
    1.00 00300 0015 00242 -4098.02675 1.00000 1.00000 0 0 0
    1.00 00301 0013 00252 -4200.43368 1.00000 1.00000 0 0 0
    1.00 00302 0013 00250 -4171.38833 1.00000 1.00000 0 0 0
    2.00 00303 0013 00239 -4116.21308 1.00000 1.00000 0 0 0
    2.00 00304 0012 00230 -4016.59597 1.00000 1.00000 0 0 0
    2.00 00305 0011 00237 -4076.83217 1.00000 1.00000 0 0 0
    2.00 00306 0013 00246 -4070.13096 1.00000 1.00000 0 0 0
    2.00 00307 0013 00244 -4057.39173 1.00000 1.00000 0 0 0
    2.00 00308 0013 00234 -4032.35947 1.00000 1.00000 0 0 0
    2.00 00309 0013 00226 -3990.88450 1.00000 1.00000 0 0 0
    2.00 00310 0013 00231 -3993.19282 1.00000 1.00000 0 0 0
    2.00 00311 0012 00247 -4108.49786 1.00000 1.00000 0 0 0
    2.00 00312 0013 00241 -4057.42957 1.00000 1.00000 0 0 0
    2.00 00313 0013 00248 -4024.60150 1.00000 1.00000 0 0 0
    2.00 00314 0014 00252 -4045.31812 1.00000 1.00000 0 0 0
    2.00 00315 0012 00250 -4082.95026 1.00000 1.00000 0 0 0
    2.00 00316 0012 00245 -4097.20267 1.00000 1.00000 0 0 0
    2.00 00317 0014 00241 -4058.57391 1.00000 1.00000 0 0 0
    2.00 00318 0012 00237 -4106.12454 1.00000 1.00000 0 0 0
    2.00 00319 0013 00243 -4051.79831 1.00000 1.00000 0 0 0
    2.00 00320 0013 00239 -4073.36213 1.00000 1.00000 0 0 0
    2.00 00321 0013 00241 -4057.58192 1.00000 1.00000 0 0 0
    2.00 00322 0014 00242 -4095.95090 1.00000 1.00000 0 0 0
    2.00 00323 0012 00246 -4140.29567 1.00000 1.00000 0 0 0
    2.00 00324 0013 00242 -4102.77172 1.00000 1.00000 0 0 0
    2.00 00325 0012 00252 -4129.39600 1.00000 1.00000 0 0 0
    2.00 00326 0014 00238 -4065.20402 1.00000 1.00000 0 0 0
    2.00 00327 0015 00240 -4050.94768 1.00000 1.00000 0 0 0
    2.00 00328 0014 00251 -4107.37918 1.00000 1.00000 0 0 0
    2.00 00329 0013 00236 -4083.39254 1.00000 1.00000 0 0 0
    2.00 00330 0014 00215 -3973.18281 1.00000 1.00000 0 0 0
    2.00 00331 0013 00242 -4104.32018 1.00000 1.00000 0 0 0
    2.00 00332 0013 00238 -4050.74191 1.00000 1.00000 0 0 0
    2.00 00333 0014 00242 -4058.49034 1.00000 1.00000 0 0 0
    2.00 00334 0011 00226 -3958.14930 1.00000 1.00000 0 0 0
    2.00 00335 0012 00216 -3926.54088 1.00000 1.00000 0 0 0
    2.00 00336 0011 00218 -3902.96252 1.00000 1.00000 0 0 0
    2.00 00337 0012 00219 -3913.40230 1.00000 1.00000 0 0 0
    2.00 00338 0013 00230 -3996.87026 1.00000 1.00000 0 0 0
    2.00 00339 0012 00231 -3959.31662 1.00000 1.00000 0 0 0
    2.00 00340 0012 00231 -3945.93873 1.00000 1.00000 0 0 0
    2.00 00341 0015 00224 -4002.56676 1.00000 1.00000 0 0 0
    2.00 00342 0014 00224 -4060.23072 1.00000 1.00000 0 0 0
    2.00 00343 0012 00234 -4021.93195 1.00000 1.00000 0 0 0
    2.00 00344 0012 00237 -4044.01563 1.00000 1.00000 0 0 0
    2.00 00345 0010 00237 -4061.22622 1.00000 1.00000 0 0 0
    2.00 00346 0012 00239 -4051.53678 1.00000 1.00000 0 0 0
    2.00 00347 0011 00230 -4001.53010 1.00000 1.00000 0 0 0
    2.00 00348 0012 00232 -4078.23312 1.00000 1.00000 0 0 0
    2.00 00349 0011 00242 -4079.53446 1.00000 1.00000 0 0 0
    2.00 00350 0011 00240 -4051.88843 1.00000 1.00000 0 0 0
    2.00 00351 0012 00229 -4067.36782 1.00000 1.00000 0 0 0
    2.00 00352 0012 00227 -4052.35599 1.00000 1.00000 0 0 0
    2.00 00353 0012 00219 -4002.44870 1.00000 1.00000 0 0 0
    2.00 00354 0011 00229 -3991.85875 1.00000 1.00000 0 0 0
    2.00 00355 0009 00229 -4007.85928 1.00000 1.00000 0 0 0
    2.00 00356 0009 00235 -4055.47249 1.00000 1.00000 0 0 0
    2.00 00357 0009 00235 -4015.06378 1.00000 1.00000 0 0 0
    2.00 00358 0009 00220 -3955.14907 1.00000 1.00000 0 0 0
    2.00 00359 0012 00241 -4027.71222 1.00000 1.00000 0 0 0
    2.00 00360 0010 00242 -4021.74880 1.00000 1.00000 0 0 0
    2.00 00361 0011 00224 -4031.44138 1.00000 1.00000 0 0 0
    2.00 00362 0012 00224 -4087.89966 1.00000 1.00000 0 0 0
    2.00 00363 0013 00231 -4102.48225 1.00000 1.00000 0 0 0
    2.00 00364 0014 00229 -4075.46454 1.00000 1.00000 0 0 0
    2.00 00365 0012 00239 -4030.87469 1.00000 1.00000 0 0 0
    2.00 00366 0010 00240 -4058.86661 1.00000 1.00000 0 0 0
    2.00 00367 0013 00245 -4079.33504 1.00000 1.00000 0 0 0
    2.00 00368 0012 00229 -4058.87609 1.00000 1.00000 0 0 0
    2.00 00369 0013 00238 -4050.32979 1.00000 1.00000 0 0 0
    2.00 00370 0011 00232 -4005.91191 1.00000 1.00000 0 0 0
    2.00 00371 0015 00226 -4019.77565 1.00000 1.00000 0 0 0
    2.00 00372 0015 00229 -4042.57970 1.00000 1.00000 0 0 0
    2.00 00373 0012 00241 -4060.51268 1.00000 1.00000 0 0 0
